,Time [h],0,0.08,0.17,0.25,0.33,0.42,0.5,0.58,0.67,0.75,0.83,0.92,1,1.08,1.17,1.25,1.33,1.42,1.5,1.58,1.67,1.75,1.83,1.92,2,2.08,2.17,2.25,2.33,2.42,2.5,2.58,2.67,2.75,2.83,2.92,3,3.08,3.17,3.25,3.33,3.42,3.5,3.58,3.67,3.75,3.83,3.92,4,4.08,4.17,4.25,4.33,4.42,4.5,4.58,4.67,4.75,4.83,4.92
A01,Sample X1,47349517,47166218,47082900,47038464,46930151,46844056,46688529,46702416,46685752,46427467,46352481,46321931,46399694,46360812,46405249,46433021,46285826,46316376,46346926,46394140,46430244,46352481,46394140,46308045,46474680,46313599,46383031,46399694,46266386,46335817,46385808,46296935,46344149,46305267,46341372,46260831,46316376,46383031,46438576,46438576,46330263,46185845,46252499,46308045,46310822,46327485,46327485,46427467,46296935,46363590,46316376,46313599,46205286,46469126,46366367,46283049,46388585,46344149,46310822,46260831
A02,Sample X1,56939399,57872558,55289706,53839976,53362287,53109556,52698521,52584654,52362473,51970879,51679267,51420982,51234905,51062715,50768325,50623908,50373954,50221205,50179546,50126778,50173991,50057346,50082342,49899043,50012910,49896265,49940702,49987915,49835166,50026797,50007356,49907374,49976806,50007356,50074010,49921261,50112892,50151773,50221205,50257309,50229537,50179546,50287859,50260087,50315632,50368400,50426722,50548922,50423945,50546144,50573917,50607244,50560031,50762771,50729444,50698894,50723889,50762771,50710003,50698894
A03,Sample X1,40346872,40346284,40596637,40921489,41015396,41207327,41149296,41368086,41366518,41332993,41401218,41480814,41555116,41660786,41716855,41848012,41848404,41963876,42002105,44186217,44269535,42144632,42275200,44369517,44461166,44422285,44527820,44580588,44502825,44550039,44602806,44561148,44619470,44627802,44688902,44602806,44777774,44794437,44847205,44883310,44844428,44688902,44836096,44891642,44877755,44908305,44922191,45027727,44936078,45016618,44977737,45005509,44927746,45119377,45144372,45041614,45086050,45033282,45016618,45016618
A04,Sample X2,51593172,50112892,48907561,48163255,47507821,47268977,46871828,46738520,46646870,46333040,46177513,46055314,46002546,45910896,45902564,45872015,45727597,45680384,45724820,45658166,45588734,45610952,45705379,45527634,45660943,45547075,45602620,45580402,45622061,45644279,45697047,45630393,45672052,45669275,45785920,45666497,45827578,45866460,45922005,45971996,45913674,45805360,45919228,45977551,46021987,45974773,45938669,46166404,45977551,46094195,45996991,46060868,45947001,46144186,46077532,45983105,46108082,45963664,45924783,46024764
A05,Sample X2,40678193,40725637,40968540,41166549,41247517,41368086,41437291,41595698,41684311,41638436,41700779,41766848,41833700,44086236,41956426,42080720,44216767,42113657,42090523,44450057,42209132,42283826,44641688,44505602,44705565,44508380,44605584,44752779,44711120,44727783,44741670,44625025,44750001,44744447,44813878,44694456,44816656,44874978,44938855,44933300,44916637,44797215,44886087,44830542,44961073,44924969,44869423,45016618,44908305,45058277,44941632,44988846,44922191,45077718,45091604,44949964,45019396,44972182,44888864,44983291
A06,Sample X2,40134552,40256886,40493320,40767983,40933448,41032844,41087541,41144003,41155374,41053233,41063231,41112047,41130476,41206739,41263985,41320642,41160079,41266533,41326916,41327896,41420627,41431410,41432782,41392396,41503359,41488460,41542373,41545117,41533943,41612950,41599619,41497282,41592561,41617851,41671176,41557860,41711170,41709406,41750576,41805861,41720188,41654316,41756457,41743910,41781747,41806253,41774297,44091790,41777630,44102900,41850756,41863695,41758222,41951329,41908394,41918589,44111231,41899572,41837621,41855461
A07,Sample X3,55245270,54223238,52484672,51454309,50643349,50065678,49132519,48727039,48382658,48002174,47635575,47432835,47305081,47132891,47041241,47002360,46760738,46688529,46671866,46691307,46660757,46560775,46619098,46496898,46652425,46516339,46577439,46605211,46452462,46563553,46538557,46408026,46488566,46435799,46519116,46396917,46488566,46527448,46502453,46605211,46569107,46394140,46371922,46416358,46460794,46402471,46363590,46427467,46285826,46416358,46344149,46308045,46213618,46410803,46302490,46271940,46224727,46166404,46141409,46188622
A08,Sample X3,53353955,52687412,51659826,50921075,50146219,49896265,49649089,49554662,49515781,49357477,49332481,49326927,49268604,49354700,49321372,49274159,49001987,48899229,48565957,48321559,48099378,47841092,47716116,47471717,47430058,47257868,47224541,47113450,46880160,46919042,46838501,46657979,46707970,46577439,46502453,46374699,46413580,46394140,46344149,46330263,46171959,46046982,46108082,45996991,46016432,45933114,45872015,45949778,45760924,45833133,45777588,45583179,45560961,45669275,45619284,45499862,45477644,45433207,45247131,45283235
A09,Sample X3,57103257,55120293,53876080,53026238,52254160,51907002,51382100,50984952,50776657,50312854,50074010,49821279,49596321,49482454,49340813,49160291,48990878,48835352,48729816,48729816,48638166,48546517,48477085,48318781,48279900,48174364,48202136,48241018,48060496,48116041,48046610,47943851,47991065,47932742,47863311,47732779,47860533,47796656,47804988,47846647,47763329,47566144,47643907,47618912,47566144,47505044,47399508,47477271,47243981,47466162,47313413,47205100,47082900,47180104,47168995,47002360,47035687,46919042,46799620,46755184
A10,Sample X4,52895707,51495968,50101783,49157514,48091046,47521707,46955146,46702416,46452462,46077532,45874792,45763701,45616507,45613729,45460980,45466535,45302676,45274904,45249908,45297122,45252685,45147150,45236022,45097159,45166590,45102713,45155481,45116600,45108268,45188808,45124931,45086050,45138818,45066609,45169368,45002732,45180477,45141595,45138818,45205472,45136041,45036059,45027727,45105491,45027727,45086050,45055500,45149927,44958296,45133263,45027727,44974959,44974959,45094382,45069386,45019396,44994400,44969405,44952741,44972182
A11,Sample X4,48196582,47449499,46910710,46413580,45974773,45674829,45494307,45458203,45419321,45222136,45211027,45194363,45097159,45158259,45111045,45213804,45024950,45038836,45105491,45155481,45174922,45102713,45197140,45069386,45194363,45055500,45149927,45149927,45033282,45138818,45024950,45033282,45141595,45033282,45086050,44947187,45069386,45122154,45061054,45172145,45049945,44866646,44983291,44933300,44949964,44922191,44944410,44958296,44783328,44938855,44808324,44811101,44713897,44874978,44866646,42354992,42400083,44719451,44569479,42293040
A12,Sample X4,51134924,50196210,49496340,48832575,48185473,47777215,47360626,47213432,46969033,46538557,46394140,46246945,46119191,46066423,45999769,45916451,45672052,45566516,45416544,45499862,45508193,45330449,45274904,45141595,45177699,45013841,45063832,44983291,44899973,44888864,44802769,44675015,44722229,44633356,44616693,44488939,42226188,44527820,44483384,42199526,42101502,41961719,42018377,41962307,41966425,41931920,41861539,41973482,41767828,41850168,41791158,41657061,41586876,41730383,41739401,41581386,41639024,41541589,41453367,41462581
A13,Sample X5,38599104,38476966,38445207,38546955,38559503,38707323,38799073,39020411,39165291,39164899,39244102,39401725,39458187,39621887,39678348,39832050,39827737,39800486,39902823,40000063,40106125,40117300,40206894,40141610,40196699,40215324,40367261,40337266,40332561,40392551,40451366,40419214,40510768,40457247,40518610,40498025,40597421,40605067,40638199,40728970,40648982,40632906,40677017,40707796,40693681,40751319,40708581,40794254,40710345,40848755,40759357,40768571,40719559,40832091,40819936,40744849,40821112,40752495,40727401,40782099
A14,Sample X5,42433803,42155023,41993087,41967405,41779591,41931724,44238985,44330635,42013280,42010143,41997008,44469498,42143848,42238147,42337151,42409689,44774997,42437528,44802769,44933300,45063832,45027727,45105491,45030505,45144372,42692586,45149927,45191586,45074941,45188808,45158259,45119377,45191586,45138818,45219358,45127709,45213804,45374885,45299899,45352667,45244354,45247131,45236022,45249908,45283235,45283235,45216581,45408212,45255463,45347112,45302676,45244354,45161036,45399880,45316562,45166590,45205472,45199918,45094382,45077718
